,number_of_rooms,floor_on,total_floors,bedroom,pincode,balkon,terrasse,garten,Gaste-WC,Aufzug,wohung,construction_year,transform_price,living_area_m2
1,2.0,0,0,0,12209,1,1,0,0,0,1,1997,8.535089240441836,4.04305126783455
2,3.0,0,0,0,12209,1,1,0,0,0,1,1997,8.517393171418904,4.442651256490317
3,5.0,0,3,3,12209,1,1,1,1,1,0,2021,8.653742020675612,5.259732451232468
4,2.5,1,2,1,12209,1,1,0,0,0,1,1968,8.63801050052032,4.3351970473170836
5,2.5,2,2,2,12209,1,1,1,0,0,1,2018,8.443300580685964,4.2626798770413155
7,5.0,0,2,4,12209,1,1,1,1,1,1,2021,8.56056426216727,5.153349396295431
9,3.0,0,0,0,12209,0,0,1,1,0,0,0,8.412054873292933,4.394449154672439
10,3.0,2,2,2,12209,1,0,1,0,0,1,2017,9.027241882219577,4.3703335360828355
11,5.0,0,2,4,12209,0,0,0,1,0,0,2021,8.697756793656742,5.209486152841421
12,2.0,1,4,1,12209,1,1,0,0,0,1,2020,8.648118413147941,4.1588830833596715
13,4.0,0,0,0,12209,1,1,1,0,0,1,2020,8.587709430136448,4.871832891215797
14,1.0,0,0,0,12209,1,1,1,0,0,1,1960,8.37224240483758,3.6375861597263857
15,5.0,0,3,3,12209,1,1,1,1,1,0,2021,8.653742020675612,5.259732451232468
16,5.0,0,3,4,12209,1,1,0,1,0,0,2020,8.619033250014658,5.062595033026967
18,3.0,0,4,2,12209,0,0,0,0,0,1,2021,8.63071439824482,4.637346917683312
19,5.0,0,1,0,12209,0,1,1,1,0,0,2017,8.668779094330041,4.7535901911063645
20,8.0,0,2,4,12209,0,1,1,0,0,0,1984,8.45908886514968,5.356350397798646
21,7.0,0,2,0,12209,0,1,0,1,0,0,1935,8.532253133293189,5.001190835268256
22,5.0,0,0,4,12209,1,1,1,1,1,1,2021,8.569800481525741,5.135268885097667
23,1.0,1,4,0,12209,1,1,1,0,0,1,1962,8.363275817704324,3.58351893845611
24,1.0,1,4,0,12209,1,1,1,0,0,1,1968,8.442146317093327,3.713572066704308
25,3.0,0,4,3,12209,1,1,1,0,0,1,1906,8.639472884046704,4.356708826689592
26,5.0,2,2,4,12209,1,1,0,1,1,1,2021,8.786770247446345,5.030437921392435
27,6.0,0,2,4,12209,1,0,1,0,0,1,1936,8.221255860441518,5.588221967352915
28,6.0,0,2,4,12209,1,0,1,0,0,1,1936,8.221255860441518,5.588221967352915
29,2.0,1,4,1,12209,1,1,0,0,0,1,2020,8.648118413147941,4.1588830833596715
30,5.0,0,2,4,12209,0,0,0,1,0,0,2021,8.728087387167912,5.087658061722327
32,6.0,0,2,4,12209,0,0,0,1,0,0,2021,8.606691949769347,5.236973736306985
