purchase_price,living_space_m2,number_of_rooms,floor_on,total_floors,bedroom,contruction_year,pincode,balkon,terrasse,garten,Gaste-WC,Aufzug,renoveation,wohung
1125000,191.43,5,0,3,2,2021,12209,1,1,1,1,1,0,0
285000,56,2,0,0,0,1997,12209,1,1,0,0,0,0,1
420000,84,3,0,0,0,1997,12209,1,1,0,0,0,0,1
1097000,191.43,5,0,3,3,2021,12209,1,1,1,1,1,0,0
425000,75.34,2.5,1,2,1,1968,12209,1,1,0,0,0,0,1
325000,70,2.5,2,2,2,1984,12209,1,1,1,0,0,2018,1
1400000,201,7,0,0,0,1984,12209,1,1,1,1,0,0,0
898000,172.01,5,0,2,4,2021,12209,1,1,1,1,1,0,1
1299000,230,7,0,0,0,1988,12209,0,0,0,0,0,2015,0
360000,80,3,0,0,0,0,12209,0,0,1,1,0,0,0
650000,78.07,3,2,2,2,1983,12209,1,0,1,0,0,2017,1
1089900,182,5,0,2,4,2021,12209,0,0,0,1,0,0,0
359000,63,2,1,4,1,1961,12209,1,1,0,0,0,2020,1
695000,129.56,4,0,0,0,2020,12209,1,1,1,0,0,0,1
160000,37,1,0,0,0,1960,12209,1,1,1,0,0,0,1
1097000,191.43,5,0,3,3,2021,12209,1,1,1,1,1,0,0
869000,157,5,0,3,4,1979,12209,1,1,0,1,0,2020,0
1150000,203,6,0,1,0,1910,12209,1,0,1,0,1,0,1
572720,102.27,3,0,4,2,1878,12209,0,0,0,0,0,2021,1
669000,115,5,0,1,0,1936,12209,0,1,1,1,0,2017,0
995000,210.95,8,0,2,4,1984,12209,0,1,1,0,0,0,0
749000,147.59,7,0,2,0,1935,12209,0,1,0,1,0,0,0
890000,168.91,5,0,0,4,2021,12209,1,1,1,1,1,0,1
150000,35,1,1,4,0,1962,12209,1,1,1,0,0,0,1
185500,40,1,1,4,0,1968,12209,1,1,1,0,0,0,1
435000,77,3,0,4,3,1906,12209,1,1,1,0,0,0,1
995000,152,5,2,2,4,2021,12209,1,1,0,1,1,0,1
990000,266.26,6,0,2,4,1936,12209,1,0,1,0,0,0,1
990000,266.26,6,0,2,4,1936,12209,1,0,1,0,0,0,1
359000,63,2,1,4,1,1961,12209,1,1,0,0,0,2020,1
993900,161.01,5,0,2,4,2021,12209,0,0,0,1,0,0,0
6346000,1073.92,34,0,4,0,2021,12209,1,1,1,1,1,0,0
1022900,187.1,6,0,2,4,2021,12209,0,0,0,1,0,0,0
4084000,691.06,24,0,4,6,2021,12209,1,1,1,1,1,0,0
403923,142.4,3,4,4,2,1893,12159,0,0,0,0,0,0,1
599000,115,4,0,1,0,1928,12159,1,1,0,0,0,0,1
249000,50,1,0,4,0,1905,12159,1,1,0,0,0,0,1
549000,117.5,4,2,5,3,1914,12159,1,1,0,0,1,0,1
445000,140,4,5,5,0,0,12159,1,1,0,1,1,0,1
270000,57.87,2,0,4,0,0,12159,1,1,0,0,0,2010,1
675000,122,3.5,0,4,0,0,12159,0,0,0,0,1,0,1
549000,118,4,2,5,0,1914,12159,1,1,0,0,1,0,1
520000,59,3,1,5,2,1905,12159,1,0,1,0,1,0,1
269000,55,2,2,4,0,1914,12159,1,1,0,0,1,0,1
134900,27.91,1,0,0,0,1955,12159,1,0,1,0,0,0,1
699000,111,4,0,4,0,1898,12159,0,1,1,1,1,0,1
897800,124.81,5,6,6,4,2020,12159,1,1,1,1,1,0,1
249000,50,1,0,4,0,1905,12159,1,1,0,0,0,0,1
549000,117.5,4,0,2,0,1914,12159,1,0,0,0,0,0,1
279000,54.5,2,0,2,0,1914,12159,0,0,1,0,0,0,1
150000,35.34,1,1,2,0,1962,12159,1,1,1,0,0,0,1
269000,54.5,2,0,2,0,1914,12159,1,1,1,0,0,0,1
269000,55,2,2,4,0,1914,12159,1,1,0,0,1,0,1
240000,47.69,2,0,4,1,1910,12159,1,1,0,0,0,0,1
349000,71.74,3,0,4,2,1905,12159,0,1,0,0,0,0,1
249000,49.79,1,0,4,0,1905,12159,1,1,0,0,0,0,1
349000,71.74,3,0,0,0,1905,12159,0,0,1,0,0,0,1
229000,46.66,1,0,4,0,1905,12159,0,0,1,0,0,0,1
690000,122,4,5,5,3,1908,12159,1,1,1,1,1,0,1
499000,235,7,0,4,0,1914,12159,0,0,0,0,0,0,1
617000,133.59,4,0,0,0,1901,12159,1,1,1,0,0,0,1
349000,71.74,3,0,0,0,1905,12159,0,0,0,0,0,0,1
549000,117.5,4,0,2,0,1914,12159,1,1,1,0,0,0,1
269000,55,2,0,1,0,0,12159,1,1,0,0,0,0,1
249000,49.79,1,4,4,1,1905,12159,1,1,0,0,0,0,1
253746,65.15,2,0,4,0,1893,12159,0,0,1,0,0,0,1
710000,129.35,4,0,0,0,2003,12159,1,1,1,0,0,0,1
249000,50,1,0,4,0,1905,12159,1,1,0,0,0,0,1
160000,35,1,3,5,1,1955,12159,0,0,0,0,0,0,1
528000,123.9,4,0,0,0,1901,12159,1,1,1,0,0,0,1
